Algorithm,Time Ran,Profit,Optional Profit,Tasks Scheduled,Required Tasks Scheduled,Optional Tasks Scheduled,Waiting Time,Working Time,Distance Traveled,Test Name,Available Tasks,Days,Average Duration of Tasks,Average Time Windows Per Task,Average Length of Time Windows,Available Release Tasks,VNS Incumbent Profit,intProg Optimal
GBOOBD,0.010422945,5397,189,45,8,37,619,2169,1232,test_threeWindow_3.csv,64,3,58.296875,3.90625,154,0,,
GBOFRT,0.009334087,5416,208,44,8,36,734,2129,1224,test_threeWindow_3.csv,64,3,58.296875,3.90625,154,0,,
GBOPOA,0.010049105,5420,212,43,8,35,774,2126,1185,test_threeWindow_3.csv,64,3,58.296875,3.90625,154,0,,
GBOOBP,0.009455919,5416,208,44,8,36,734,2129,1224,test_threeWindow_3.csv,64,3,58.296875,3.90625,154,0,,
GPC,0.135576963,4740,183,45,7,38,435,2258,1360,test_threeWindow_3.csv,64,3,58.296875,3.90625,154,0,,
VNS,300.30164,5425,217,46,8,38,224,2304,1338,test_threeWindow_3.csv,64,3,58.296875,3.90625,154,0,5420,
TRI,300.0040472,5423,215,48,8,40,499,2361,1221,test_threeWindow_3.csv,64,3,58.296875,3.90625,154,0,,
IP,307.0315211,5434,226,52,8,44,299,2529,1293,test_threeWindow_3.csv,64,3,58.296875,3.90625,154,0,,FALSE
GBOOBD,0.09095192,82451,179,63,32,31,113,2728,1273,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
GBOFRT,0.069698811,82491,219,59,32,27,144,2736,1210,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
GBOPOA,0.06389308,77333,203,60,30,30,235,2627,1303,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
GBOOBP,0.067097902,82491,219,59,32,27,144,2736,1210,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
GPC,1.35652709,15700,274,55,6,49,201,2510,1480,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
VNS,302.8407121,82498,226,60,32,28,93,2755,1210,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,82491,
TRI,300.0187812,43946,239,62,17,45,240,2611,1266,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,
IP,481.794574,10395,111,26,4,22,1546,1393,695,test_twoFiftySixTask_3.csv,256,3,59.28515625,3.125,212,0,,FALSE
GBOOBD,0.022025108,4697,140,27,7,20,393,2421,728,test_twoHundredFortyDuration_3.csv,64,3,140.15625,3.15625,252,0,,
GBOFRT,0.00794816,4697,140,27,7,20,676,2422,673,test_twoHundredFortyDuration_3.csv,64,3,140.15625,3.15625,252,0,,
GBOPOA,0.007457018,4694,137,27,7,20,379,2503,654,test_twoHundredFortyDuration_3.csv,64,3,140.15625,3.15625,252,0,,
GBOOBP,0.007723808,4697,140,27,7,20,676,2422,673,test_twoHundredFortyDuration_3.csv,64,3,140.15625,3.15625,252,0,,
GPC,0.069811106,1443,141,25,2,23,419,2898,682,test_twoHundredFortyDuration_3.csv,64,3,140.15625,3.15625,252,0,,
VNS,301.220952,4708,151,30,7,23,255,2827,775,test_twoHundredFortyDuration_3.csv,64,3,140.15625,3.15625,252,0,4697,
TRI,300.006407,5336,128,29,8,21,302,2923,639,test_twoHundredFortyDuration_3.csv,64,3,140.15625,3.15625,252,0,,
IP,305.418824,5369,161,30,8,22,222,3178,778,test_twoHundredFortyDuration_3.csv,64,3,140.15625,3.15625,252,0,,FALSE
GBOOBD,0.010029078,5287,79,26,8,18,374,1502,1864,test_twoHundredFortyLocation_3.csv,64,3,62.28125,2.90625,208,0,,
GBOFRT,0.007662058,5332,124,23,8,15,342,1349,2016,test_twoHundredFortyLocation_3.csv,64,3,62.28125,2.90625,208,0,,
GBOPOA,0.007098913,5327,119,27,8,19,464,1454,1866,test_twoHundredFortyLocation_3.csv,64,3,62.28125,2.90625,208,0,,
GBOOBP,0.007458925,5332,124,23,8,15,342,1349,2016,test_twoHundredFortyLocation_3.csv,64,3,62.28125,2.90625,208,0,,
GPC,0.060653925,1414,112,24,2,22,837,1553,1634,test_twoHundredFortyLocation_3.csv,64,3,62.28125,2.90625,208,0,,
VNS,301.985832,5357,149,27,8,19,1,1538,2191,test_twoHundredFortyLocation_3.csv,64,3,62.28125,2.90625,208,0,5332,
TRI,300.0067182,5318,110,26,8,18,427,1555,1785,test_twoHundredFortyLocation_3.csv,64,3,62.28125,2.90625,208,0,,
IP,305.3672211,5378,170,33,8,25,116,1751,2168,test_twoHundredFortyLocation_3.csv,64,3,62.28125,2.90625,208,0,,FALSE
GBOOBD,0.012696028,228,228,43,0,43,425,2378,1349,test_zeroRequired_3.csv,64,3,62.078125,3.046875,209,0,,
GBOFRT,0.008908987,246,246,39,0,39,546,2229,1057,test_zeroRequired_3.csv,64,3,62.078125,3.046875,209,0,,
GBOPOA,0.009059906,240,240,39,0,39,593,2188,1124,test_zeroRequired_3.csv,64,3,62.078125,3.046875,209,0,,
GBOOBP,0.008947134,246,246,39,0,39,546,2229,1057,test_zeroRequired_3.csv,64,3,62.078125,3.046875,209,0,,
GPC,0.119881153,207,207,41,0,41,704,2148,1219,test_zeroRequired_3.csv,64,3,62.078125,3.046875,209,0,,
VNS,302.1510789,255,255,43,0,43,181,2459,1107,test_zeroRequired_3.csv,64,3,62.078125,3.046875,209,0,246,
TRI,300.0039608,243,243,46,0,46,413,2528,1134,test_zeroRequired_3.csv,64,3,62.078125,3.046875,209,0,,
IP,305.4042718,270,270,47,0,47,97,2675,1345,test_zeroRequired_3.csv,64,3,62.078125,3.046875,209,0,,FALSE
GBOOBD,0.023066998,5369,161,44,8,36,372,2368,1126,test_baseline_4.csv,64,3,62.625,2.875,213,0,,
GBOFRT,0.008110046,5400,192,42,8,34,445,2272,967,test_baseline_4.csv,64,3,62.625,2.875,213,0,,
GBOPOA,0.008324862,5412,204,44,8,36,383,2403,1100,test_baseline_4.csv,64,3,62.625,2.875,213,0,,
